"Class Name - Live Allocated Objects";"Live Bytes";"Live Objects";"Allocated Objects";"Avg. Age";"Generations"
"java.io.BufferedReader";"0";"0";"1";"0.00";"0"
"java.io.BufferedInputStream";"0";"0";"1";"0.00";"0"
"int[][]";"0";"0";"1";"0.00";"0"
"sun.net.www.protocol.jar.URLJarFile$URLJarFileEntry";"0";"0";"1";"0.00";"0"
"sun.nio.cs.ISO_8859_1$Decoder";"0";"0";"1";"0.00";"0"
"sun.nio.cs.ISO_8859_1$Encoder";"0";"0";"1";"0.00";"0"
"sun.nio.cs.StreamDecoder";"0";"0";"1";"0.00";"0"
"sun.nio.cs.Surrogate$Parser";"0";"0";"1";"0.00";"0"
"sun.nio.cs.UTF_8$Decoder";"0";"0";"1";"0.00";"0"
"sun.nio.cs.UTF_8$Encoder";"0";"0";"1";"0.00";"0"
"de.unibi.cebitec.bibiserv.search.suffixtree.SuffixTreeConstructor";"0";"0";"11209";"0.00";"0"
"de.unibi.cebitec.bibiserv.search.suffixtree.SuffixTreeCharacter[]";"0";"0";"11200";"0.00";"0"
"sun.security.jca.GetInstance$Instance";"0";"0";"1";"0.00";"0"
"de.unibi.cebitec.bibiserv.search.suffixtree.SuffixTree";"0";"0";"1";"0.00";"0"
"sun.security.util.ManifestEntryVerifier";"0";"0";"1";"0.00";"0"
"de.unibi.cebitec.bibiserv.search.index.SuffixTreeAppendSession";"0";"0";"1";"0.00";"0"
"sun.util.LocaleServiceProviderPool$1";"0";"0";"1";"0.00";"0"
"de.unibi.cebitec.bibiserv.search.ProfilingTestClass";"0";"0";"1";"0.00";"0"
"com.sun.xml.internal.stream.util.BufferAllocator";"0";"0";"1";"0.00";"0"
"com.sun.xml.internal.stream.XMLEntityStorage";"0";"0";"1";"0.00";"0"
"com.sun.xml.internal.stream.Entity$ScannedEntity";"0";"0";"1";"0.00";"0"
"com.sun.org.apache.xerces.internal.xni.parser.XMLInputSource";"0";"0";"1";"0.00";"0"
"com.sun.org.apache.xerces.internal.xni.XMLString";"0";"0";"1";"0.00";"0"
"com.sun.org.apache.xerces.internal.xni.QName[]";"0";"0";"1";"0.00";"0"
"com.sun.org.apache.xerces.internal.xni.QName";"0";"0";"3";"0.00";"0"
"com.sun.org.apache.xerces.internal.utils.SecuritySupport$4";"0";"0";"1";"0.00";"0"
"com.sun.org.apache.xerces.internal.utils.SecuritySupport$3";"0";"0";"1";"0.00";"0"
"com.sun.org.apache.xerces.internal.utils.SecuritySupport$2";"0";"0";"1";"0.00";"0"
"com.sun.org.apache.xerces.internal.utils.SecuritySupport$1";"0";"0";"1";"0.00";"0"
"com.sun.org.apache.xerces.internal.util.XMLStringBuffer";"0";"0";"1";"0.00";"0"
"com.sun.org.apache.xerces.internal.util.XMLResourceIdentifierImpl";"0";"0";"1";"0.00";"0"
"com.sun.org.apache.xerces.internal.util.XMLAttributesIteratorImpl";"0";"0";"1";"0.00";"0"
"com.sun.org.apache.xerces.internal.util.XMLAttributesImpl$Attribute[]";"0";"0";"1";"0.00";"0"
"com.sun.org.apache.xerces.internal.util.XMLAttributesImpl$Attribute";"0";"0";"1";"0.00";"0"
"com.sun.org.apache.xerces.internal.util.XMLAttributesImpl";"0";"0";"1";"0.00";"0"
"com.sun.org.apache.xerces.internal.util.SymbolTable$Entry[]";"0";"0";"1";"0.00";"0"
"com.sun.org.apache.xerces.internal.util.SymbolTable$Entry";"0";"0";"1";"0.00";"0"
"com.sun.org.apache.xerces.internal.util.SymbolTable";"0";"0";"1";"0.00";"0"
"sun.util.resources.LocaleData$1";"0";"0";"1";"0.00";"0"
"com.sun.org.apache.xerces.internal.util.SecurityManager";"0";"0";"1";"0.00";"0"
"com.sun.org.apache.xerces.internal.util.NamespaceSupport";"0";"0";"1";"0.00";"0"
"com.sun.org.apache.xerces.internal.util.AugmentationsImpl$SmallContainer";"0";"0";"1";"0.00";"0"
"com.sun.org.apache.xerces.internal.util.AugmentationsImpl";"0";"0";"1";"0.00";"0"
"com.sun.org.apache.xerces.internal.parsers.XIncludeAwareParserConfiguration";"0";"0";"1";"0.00";"0"
"com.sun.org.apache.xerces.internal.parsers.DOMParser";"0";"0";"1";"0.00";"0"
"com.sun.org.apache.xerces.internal.jaxp.DocumentBuilderImpl";"0";"0";"1";"0.00";"0"
"com.sun.org.apache.xerces.internal.jaxp.DocumentBuilderFactoryImpl";"0";"0";"1";"0.00";"0"
"com.sun.org.apache.xerces.internal.impl.validation.ValidationState";"0";"0";"1";"0.00";"0"
"com.sun.org.apache.xerces.internal.impl.validation.ValidationManager";"0";"0";"1";"0.00";"0"
"com.sun.org.apache.xerces.internal.impl.msg.XMLMessageFormatter";"0";"0";"1";"0.00";"0"
"com.sun.org.apache.xerces.internal.impl.io.UTF8Reader";"0";"0";"1";"0.00";"0"
"com.sun.org.apache.xerces.internal.impl.dv.dtd.DTDDVFactoryImpl";"0";"0";"1";"0.00";"0"
"com.sun.org.apache.xerces.internal.impl.dtd.XMLSimpleType";"0";"0";"1";"0.00";"0"
"com.sun.org.apache.xerces.internal.impl.dtd.XMLNSDTDValidator";"0";"0";"1";"0.00";"0"
"com.sun.org.apache.xerces.internal.impl.dtd.XMLEntityDecl";"0";"0";"1";"0.00";"0"
"com.sun.org.apache.xerces.internal.impl.dtd.XMLElementDecl";"0";"0";"1";"0.00";"0"
"com.sun.org.apache.xerces.internal.impl.dtd.XMLDTDValidator";"0";"0";"1";"0.00";"0"
"com.sun.org.apache.xerces.internal.impl.dtd.XMLDTDProcessor";"0";"0";"1";"0.00";"0"
